timestamp,AAPL,MSFT,NVDA,AMZN,GOOGL,META,BRK-B,TSLA,LVMUY,JPM
2024-05-06,180.8560333251953,410.40667724609375,92.10972595214844,188.6999969482422,167.30014038085938,463.9873046875,404.9200134277344,184.75999450683594,169.0,187.6480712890625
2024-05-07,181.54278564453125,406.238525390625,90.52424621582031,188.75999450683594,170.43515014648438,466.53802490234375,406.1400146484375,177.80999755859375,170.2100067138672,187.4037322998047
2024-05-08,181.88119506835938,407.4294128417969,90.3823013305664,188.0,168.57406616210938,470.8821716308594,406.3699951171875,174.72000122070312,169.83999633789062,191.21534729003906
2024-05-09,183.7025909423828,409.1959228515625,88.71784973144531,189.5,169.15130615234375,473.6919250488281,408.82000732421875,171.97000122070312,170.1300048828125,193.02342224121094
2024-05-10,182.43682861328125,411.59759521484375,89.84848022460938,187.47999572753906,167.84751892089844,474.4690856933594,412.04998779296875,168.47000122070312,169.52999877929688,194.26463317871094
2024-05-13,185.65602111816406,410.5853271484375,90.36930847167969,186.57000732421875,168.33517456054688,466.3088684082031,411.2200012207031,171.88999938964844,168.75,194.22552490234375
2024-05-14,186.8021697998047,413.40380859375,91.32599639892578,187.07000732421875,169.52947998046875,470.1349182128906,410.239990234375,177.5500030517578,171.9199981689453,196.9425048828125
2024-05-15,189.08450317382812,420.6317443847656,94.59890747070312,185.99000549316406,171.68914794921875,479.7896423339844,412.760009765625,173.99000549316406,171.22000122070312,197.52891540527344
2024-05-16,189.2041015625,418.5538024902344,94.3280029296875,183.6300048828125,173.35121154785156,471.5098876953125,413.1199951171875,174.83999633789062,170.2899932861328,197.88076782226562
2024-05-17,189.2340087890625,417.7783203125,92.44861602783203,184.6999969482422,175.22227478027344,470.1947021484375,416.94000244140625,177.4600067138672,170.44000244140625,200.14816284179688
2024-05-20,190.40008544921875,422.878662109375,94.74886322021484,183.5399932861328,176.0781707763672,467.1358337402344,413.0,174.9499969482422,168.85000610351562,191.1469268798828
2024-05-21,191.70570373535156,426.5572509765625,95.35466766357422,183.14999389648438,177.00376892089844,462.941162109375,414.3699951171875,186.60000610351562,166.60000610351562,194.9976348876953
2024-05-22,190.26055908203125,428.0286865234375,94.91881561279297,183.1300048828125,175.54075622558594,466.0796813964844,413.989990234375,180.11000061035156,162.27000427246094,193.81504821777344
2024-05-23,186.25401306152344,424.529052734375,103.76490783691406,181.0500030517578,172.72421264648438,464.0869445800781,405.8800048828125,173.74000549316406,161.30999755859375,192.45655822753906
2024-05-24,189.3436279296875,427.6707763671875,106.43402862548828,180.75,174.1573486328125,476.4817199707031,407.4100036621094,179.24000549316406,163.0500030517578,196.16067504882812
2024-05-28,189.35360717773438,427.8298645019531,113.86358642578125,182.14999389648438,175.56065368652344,478.1755676269531,403.8999938964844,176.75,161.6999969482422,194.97808837890625
2024-05-29,189.652587890625,426.6865234375,114.78727722167969,182.02000427246094,175.0630340576172,472.6357421875,404.0899963378906,176.19000244140625,156.3800048828125,193.6195831298828
2024-05-30,190.6492462158203,412.2704162597656,110.46369934082031,179.32000732421875,171.2910614013672,465.3523254394531,408.6099853515625,178.7899932861328,158.91000366210938,194.8119354248047
2024-05-31,191.6060333251953,412.7277526855469,109.59699249267578,176.44000244140625,171.67919921875,465.13311767578125,414.3999938964844,178.0800018310547,160.74000549316406,198.03712463378906
2024-06-03,193.3800506591797,411.1270446777344,114.96222686767578,178.33999633789062,172.3460235595703,475.75439453125,414.7900085449219,176.2899932861328,160.58999633789062,197.24549865722656
2024-06-04,193.69898986816406,413.6623229980469,116.39875793457031,179.33999633789062,172.9630584716797,475.2561950683594,409.5299987792969,174.77000427246094,160.6199951171875,194.6457977294922
2024-06-05,195.21389770507812,421.5563659667969,122.3997802734375,181.27999877929688,174.57537841796875,493.2605285644531,409.8500061035156,175.0,164.75,192.78884887695312
2024-06-06,193.82855224609375,422.0633850097656,120.95825958251953,185.0,175.8890838623047,491.96527099609375,411.0799865722656,177.94000244140625,166.02999877929688,192.44677734375
2024-06-07,196.23048400878906,421.3973083496094,120.84829711914062,184.3000030517578,173.6298828125,491.16815185546875,413.7200012207031,177.47999572753906,164.5500030517578,195.41787719726562
2024-06-10,192.4730987548828,425.3940124511719,121.74999237060547,187.05999755859375,174.37716674804688,500.77313232421875,410.80999755859375,173.7899932861328,160.91000366210938,195.0855712890625
2024-06-11,206.45611572265625,430.1761779785156,120.88021087646484,187.22999572753906,175.98135375976562,505.62542724609375,408.5,170.66000366210938,158.77000427246094,189.95457458496094
2024-06-12,212.35630798339844,438.5076904296875,125.16914367675781,186.88999938964844,177.14710998535156,506.9903869628906,408.7699890136719,177.2899932861328,158.82000732421875,187.188720703125
2024-06-13,213.52236938476562,439.0246887207031,129.57806396484375,183.8300018310547,174.52662658691406,502.2676696777344,405.9200134277344,182.47000122070312,157.35000610351562,189.2704620361328
2024-06-14,211.77822875976562,440.00897216796875,131.84751892089844,183.66000366210938,176.15072631835938,502.8262023925781,405.5400085449219,178.00999450683594,152.83999633789062,189.38772583007812
2024-06-17,215.94422912597656,445.775390625,130.94773864746094,184.05999755859375,176.59912109375,505.2896423339844,407.32000732421875,187.44000244140625,155.10000610351562,190.56053161621094
2024-06-18,213.5721893310547,443.75714111328125,135.54660034179688,182.80999755859375,174.45687866210938,498.16851806640625,407.95001220703125,184.86000061035156,152.4600067138672,192.5347442626953
2024-06-20,208.97764587402344,443.120849609375,130.74778747558594,186.10000610351562,175.66250610351562,500.3727111816406,409.1499938964844,181.57000732421875,152.57000732421875,194.16688537597656
