timestamp,bitcoin,ethereum,tether,binancecoin,solana
2024-05-06 00:00:00,64010.00865210892,3136.57511039041,0.9995723091594041,591.5696864234413,145.68571274466362
2024-05-07 00:00:00,63172.48129551341,3064.5913995603364,0.9998138378099068,587.9975276703907,152.65486339652605
2024-05-08 00:00:00,62363.057191718624,3015.1597696166846,1.0001719699220128,577.8207580787184,148.18697723966497
2024-05-09 00:00:00,61215.50400879193,2975.72696606529,0.9998603041899017,588.6001816817056,142.5160197700434
2024-05-10 00:00:00,63148.599943097026,3038.3447046668207,1.0002587983772435,596.3634049227411,152.72554705807713
2024-05-11 00:00:00,60888.21674957157,2910.684500017475,0.9998341390120163,585.63209486269,146.3104978769931
2024-05-12 00:00:00,60776.972079172134,2908.9827849031903,0.9996425870156772,591.5322705643867,145.3083544018294
2024-05-13 00:00:00,61507.054004121346,2931.3106669139133,0.9992802660885272,594.0478928219344,143.58731571295039
2024-05-14 00:00:00,62878.783300729294,2948.3034552659406,1.0000690328912964,591.4430302446636,147.14466221396205
2024-05-15 00:00:00,61569.1130057734,2881.7959916152945,0.9994961955158256,566.6540797108654,142.0844864886782
2024-05-16 00:00:00,66220.51831432826,3035.758955126304,0.9995957392910128,582.2776668543061,158.01312798977025
2024-05-17 00:00:00,65260.879803346186,2943.5851283842208,0.9999186539692309,569.1833921144822,159.14533854574205
2024-05-18 00:00:00,67053.12326509564,3095.9968442929658,1.0011081742368966,581.3528348007209,169.49970700636922
2024-05-19 00:00:00,66912.61861403697,3120.5493782541066,0.9996616250301112,579.6733289621226,172.45083937260318
2024-05-20 00:00:00,66252.71259591613,3071.324418093757,0.9999453832311869,574.2318739013161,170.0673475386705
2024-05-21 00:00:00,71430.29700215145,3656.390090299324,1.0003015164913203,600.7777660119472,186.3249227218175
2024-05-22 00:00:00,70189.8358177002,3792.486220211773,0.9988873694830204,618.8192565287056,178.1744919321701
2024-05-23 00:00:00,69181.20085677762,3741.897740560911,0.9997776261342576,614.7193778227489,176.86884758403767
2024-05-24 00:00:00,67906.46534276106,3766.398091341944,0.9998647123182286,598.7991409330791,176.0640591935767
2024-05-25 00:00:00,68539.91646552991,3727.065981583209,0.9995335615501373,600.0237430352892,167.76687801061138
2024-05-26 00:00:00,69268.44558973772,3750.077159389676,0.9998771328732462,602.185289762264,168.3697915144665
2024-05-27 00:00:00,68508.83110875699,3825.277957577714,0.9997678096337183,600.0099567532791,163.35859974681
2024-05-28 00:00:00,69367.23871755725,3893.3921058941055,0.9992578794997635,603.7379863160476,169.81442537506513
2024-05-29 00:00:00,68316.63588049631,3840.68886040005,0.9988491163088936,601.027199842003,168.75055773108363
2024-05-30 00:00:00,67577.26558995963,3765.3025567780796,0.9989229073165884,595.1906949308271,168.13546936257387
2024-05-31 00:00:00,68372.49288434093,3748.6391523334596,0.9995210338137629,595.0819435647909,167.014473333231
2024-06-01 00:00:00,67474.95483698409,3761.0692456476336,0.9992101884537414,593.7073159967216,165.91353028162595
2024-06-02 00:00:00,67704.32641811523,3813.452441559934,0.9993768891230614,600.9239789843393,165.9632350083908
2024-06-03 00:00:00,67740.01690222476,3780.7119847349145,0.9993446238202418,602.9471398632894,163.11854094832748
2024-06-04 00:00:00,68808.29368590549,3766.6376499412618,0.9998835953788076,626.564554887942,164.81254949676975
2024-06-05 00:00:00,70600.01116676089,3814.932030146498,1.0001566410540734,686.5106675772284,171.7281286123733
2024-06-06 00:00:00,71184.59943059199,3871.0820906216727,1.0007556119348036,699.924112025121,173.76957145050255
2024-06-07 00:00:00,70759.58819301432,3812.701856549199,0.9995558015878527,710.0434830589062,170.37271994953753
2024-06-08 00:00:00,69325.36238847222,3679.3766523741783,0.9995937425288955,683.3383279797964,162.4532049787127
2024-06-09 00:00:00,69315.1041233966,3683.0253801346485,0.9999383223706239,682.7827497468624,158.1807505205203
2024-06-10 00:00:00,69654.16073760358,3705.8998844045504,1.0000655674258474,673.495305137746,162.063709361357
2024-06-11 00:00:00,69493.17760915738,3666.8276647258203,0.9997216337476131,624.1111865882733,158.8863716164394
2024-06-12 00:00:00,67329.15232724321,3498.5559542215797,0.9997068484256737,601.6892499687187,149.30184393721757
2024-06-13 00:00:00,68224.51967501991,3559.4475336257624,0.9996372500993125,618.8387734028372,154.85704243492725
2024-06-14 00:00:00,66700.31696564378,3465.316584199481,0.9990786378837974,599.1566520664575,147.23468433017004
2024-06-15 00:00:00,66011.07873713733,3478.7748349889234,0.9993666468326642,603.0538175934126,143.0214313059618
2024-06-16 00:00:00,66190.4874891135,3565.1232591862595,0.9993716108139197,607.8065562169128,145.28190108402654
2024-06-17 00:00:00,66615.53782131766,3618.508652976102,0.9992633870759763,609.8330309332431,150.65560322695782
2024-06-18 00:00:00,66460.38897909952,3510.3586935289036,0.9996302782300592,603.9317705958817,143.201979419663
2024-06-19 00:00:00,65109.314812190474,3480.4713384276088,0.9999173021583037,588.3547299332587,137.4629937319601
2024-06-20 00:00:00,64907.07460760319,3555.9658395535403,0.9999378887247978,598.1823995707931,135.40309403154043
2024-06-21 00:00:00,64844.67441797763,3511.28482815368,0.9990504257522792,586.9059353494202,133.44256940911677
2024-06-22 00:00:00,64071.624284709695,3516.88098000528,0.999555222126035,585.8611030285144,134.51329489326994
2024-06-23 00:00:00,64239.90348813148,3494.7985621731755,0.9995055976043158,590.5596486180493,133.48608472760722
2024-06-24 00:00:00,63221.35738437477,3417.7971372978254,0.9989494996815242,577.112305791683,128.54028172949205
